event_id,equipment_name,equipment_code,timestamp,fault_description,technician_diagnosis,maintenance_actions,root_cause_analysis,related_multimodal_data
F-2024-0001,1#精轧机 F5机架,HRM1-RF5-MOTOR,2024/5/21 14:30,F5机架电机传来一阵阵的咔啦异响，DCS系统上振动监测值超过了二级报警线，听着声音是从驱动侧发出的。,驱动侧电机轴承内圈剥落,停机，解体电机，更换驱动侧NSK 22330CA/W33型轴承，清理轴承座，加注新润滑脂，试车后振动值恢复正常。,轴承润滑不良导致早期点蚀，在高负荷下发展为内圈剥落。,"{""vibration"": [""VIB_HRM1_RF5_DRV_20240521_1430.csv""], ""thermal_image"": [""IMG_HRM1_RF5_DRV_BEARING_20240521_1435.jpg""], ""maintenance_manual"": ""Manual_RollingMill_Motor.pdf#page=45""}"
F-2024-0002,2#粗轧机 R2液压站,HRM2-HYD-R2,2024/5/21 16:15,液压站2号主泵出口压力突然从25MPa掉到18MPa，压力波动很大，轧机AGC厚度控制报警。,2号主泵伺服阀卡涩,切换至备用泵，在线清洗伺服阀阀芯，更换液压油滤芯。恢复2号泵运行，压力稳定。,液压油中金属颗粒污染物过多，导致伺服阀阀芯动作不灵敏。,"{""timeseries_data"": [""PLC_HRM2_HYD_PRESSURE_20240521_1610.csv""], ""oil_analysis_report"": [""REPORT_OIL_HRM2_HYD_20240520.pdf""], ""schematics"": ""Schematic_HRM2_Hydraulic_System.pdf#page=12""}"
F-2024-0003,1#层流冷却区 3号水泵,LFC1-PUMP-03,2024/5/22 8:00,巡检发现3号冷却水泵电机接线盒处有焦糊味，用红外测温枪打了下，温度高达95度，比旁边几台高很多。,电机接线盒内电缆接头虚接，接触电阻过大导致过热。,紧急停泵，断电处理。打开接线盒，发现A相电缆接头螺丝松动，有烧蚀痕迹。重新压接并紧固电缆接头，清理接线盒。,长期振动导致接线螺丝松动，未在定检中及时发现并紧固。,"{""thermal_image"": [""IMG_LFC1_PUMP03_JUNCTIONBOX_20240522_0755.jpg""], ""electrical_drawing"": ""Drawing_E_LFC1_PUMP03.pdf"", ""maintenance_log"": ""Log_LFC1_PUMPS_Q1_2024.xlsx""}"
F-2024-0004,卷取机 C1主传动齿轮箱,COILER1-GB-MAIN,2024/5/22 11:20,卷取机在卷一个厚规格钢卷时，齿轮箱发出沉闷的撞击声，同时主电机电流瞬间飙升导致跳闸。,主传动齿轮箱高速级小齿轮断齿,停机，吊开齿轮箱上盖，排空润滑油。检查发现高速级输入轴小齿轮断掉三齿，齿根有明显疲劳裂纹。,齿轮长期在超扭矩工况下运行，产生疲劳裂纹并最终导致断裂。,"{""vibration"": [""VIB_COILER1_GB_HS_20240522_1115.csv""], ""photo_damage"": [""PHOTO_COILER1_GEAR_BROKEN_20240522_1500.jpg""], ""oil_analysis_report"": ""REPORT_OIL_COILER1_GB_20240521.pdf""}"
F-2024-0005,2#加热炉 4号助燃风机,FURN2-FAN-04,2024/5/23 9:40,4号助燃风机振动突然增大，从平时的2.5mm/s升到8.9mm/s，现场噪音巨大。,风机叶轮叶片存在不均匀积灰，导致转子动不平衡。,停机，打开风机壳体检查口，发现叶轮上有大量黏着的氧化铁皮积灰。使用高压水枪进行清理，并做动平衡校验。,炉内氧化铁皮被吸入风机通道，在叶片上黏着堆积。,"{""vibration"": [""VIB_FURN2_FAN04_IMPELLER_20240523_0935.csv""], ""maintenance_manual"": ""Manual_Furnace_Fan.pdf#page=28"", ""photo_internal"": ""PHOTO_FURN2_FAN04_DUST_20240523_1100.jpg""}"
F-2024-0006,1#精轧机 F2机架,HRM1-RF2-HYD,2024/5/23 15:00,F2机架的弯辊液压缸位置反馈异常，设定值和实际值偏差超过5mm，系统频繁报警。,弯辊液压缸内置位移传感器故障,联系仪表人员，使用便携式校验仪测试传感器信号，发现信号漂移严重。更换同型号MTS位移传感器。,传感器内部电子元件老化，达到使用寿命。,"{""timeseries_data"": [""PLC_HRM1_RF2_BENDING_POS_20240523_1455.csv""], ""schematics"": ""Schematic_HRM1_Bending_System.pdf#page=5"", ""sensor_datasheet"": ""Datasheet_MTS_RHM0500MD6.pdf""}"
F-2024-0007,2#板坯库 1号天车,CRANE-SLAB-01,2024/5/24 10:10,1号天车大车行走时，向东运行正常，向西运行时驱动轮打滑，车体歪斜严重。,西侧大车驱动电机碳刷磨损严重，导致电机输出扭矩不足。,停机，检查西侧驱动电机，发现碳刷已磨损至极限。更换全套碳刷，并清理换向器表面。,碳刷为易损件，未按照点检计划及时更换。,"{""photo_damage"": [""PHOTO_CRANE01_BRUSH_WORN_20240524_1030.jpg""], ""maintenance_log"": ""Log_CRANE_SLAB_01_2024.xlsx"", ""electrical_drawing"": ""Drawing_E_CRANE01_DRIVE.pdf""}"
F-2024-0008,1#除鳞箱 高压水泵,DESCALER1-PUMP-HP,2024/5/24 13:45,高压水泵入口滤网压差报警，查看现场发现泵体盘根密封处大量漏水，压力上不去。,泵盘根密封老化失效,停泵泄压。拆卸盘根压盖，取出全部旧的盘根填料，清理盘根箱，更换新的石墨盘根。,盘根在高温高压水环境下长期工作，材料性能下降导致密封失效。,"{""timeseries_data"": [""PLC_DESCALER1_PUMP_PRESSURE_20240524_1340.csv""], ""photo_leak"": [""PHOTO_DESCALER1_PUMP_LEAK_20240524_1350.jpg""], ""maintenance_manual"": ""Manual_HP_Pump.pdf#page=18""}"
F-2024-0009,2#精轧机 F1机架,HRM2-RF1-MOTOR,2024/5/25 17:00,F1电机编码器信号丢失，DCS画面上速度反馈为0，导致传动系统急停。,电机编码器电缆断裂,检查编码器接头和电缆，发现电缆在拖链出口处被磨破并断裂。更换整根编码器电缆。,电缆在拖链内布线不规范，长期往复运动导致磨损断裂。,"{""timeseries_data"": [""PLC_HRM2_RF1_SPEED_20240525_1655.csv""], ""photo_damage"": [""PHOTO_HRM2_RF1_CABLE_BROKEN_20240525_1730.jpg""], ""electrical_drawing"": ""Drawing_E_HRM2_RF1_Encoder.pdf""}"
F-2024-0010,热送辊道 R3段,ROLLER-TABLE-R3,2024/5/26 9:00,R3段第12号辊子不转，后面的钢坯过来都卡在这里了，现场烟很大。,辊道电机减速机输出轴断裂,停机，将故障辊子吊出。解体减速机，发现输出轴从轴肩处断裂。,长期过载及冲击负荷导致金属疲劳。,"{""photo_damage"": [""PHOTO_ROLLER_R3_12_SHAFT_BROKEN_20240526_1000.jpg""], ""maintenance_manual"": ""Manual_Roller_Table_Motor.pdf#page=22"", ""maintenance_log"": ""Log_ROLLER-TABLE-R3_2024.xlsx""}"
F-2024-0011,1#精轧机 F6机架,HRM1-RF6-BEARING,2024/5/26 14:20,F6机架操作侧工作辊轴承座温度异常升高，达到85摄氏度，润滑油回油管路观察窗内发现有少量金属屑。,操作侧工作辊轴承外圈碎裂,紧急换辊。检查换下的工作辊，发现操作侧四列圆锥滚子轴承外圈已碎裂，滚子散落。,轴承安装时预紧力过大，导致运行中异常发热，润滑失效并最终损坏。,"{""vibration"": [""VIB_HRM1_RF6_OP_20240526_1415.csv""], ""thermal_image"": [""IMG_HRM1_RF6_OP_BEARING_20240526_1425.jpg""], ""photo_damage"": [""PHOTO_HRM1_RF6_BEARING_BROKEN_20240526_1600.jpg""], ""maintenance_manual"": ""Manual_WorkRoll_Bearing.pdf#page=33""}"
F-2024-0012,2#层流冷却区 5号阀门,LFC2-VALVE-05,2024/5/27 11:00,DCS上控制5号阀门开启，反馈位置始终为0，但现场听到阀门动作声音，且下游管道有水。,阀门电动执行器反馈连杆脱落,现场检查阀门电动执行器，发现其位置反馈模块的连接杆从阀杆上脱落。重新安装并紧固连接杆。,连接杆固定螺丝发生锈蚀松动。,"{""timeseries_data"": [""PLC_LFC2_VALVE05_CMD_FB_20240527_1055.csv""], ""photo_internal"": [""PHOTO_LFC2_VALVE05_LINK_OFF_20240527_1110.jpg""], ""schematics"": ""Schematic_LFC2_Cooling_System.pdf#page=8""}"
F-2024-0013,1#卷取机 C2液压系统,COILER2-HYD,2024/5/27 18:30,C2卷取机助卷辊提升动作缓慢无力，无法将钢带头部抬起。,助卷辊提升缸活塞密封圈损坏（内漏）,测试系统压力正常。对提升缸进行保压测试，发现有明显内漏。解体液压缸，更换活塞Y型密封圈。,密封圈老化变硬，失去弹性，在高压下被击穿。,"{""timeseries_data"": [""PLC_COILER2_HYD_PRESSURE_ACTION_20240527_1825.csv""], ""maintenance_manual"": ""Manual_Coiler_Hydraulic.pdf#page=41"", ""schematics"": ""Schematic_COILER2_Hydraulic_System.pdf#page=15""}"
F-2024-0014,2#精轧机 F7机架,HRM2-RF7-PLC,2024/5/28 10:00,F7机架所有信号全部丢失，DCS上显示为红色故障，导致全线跳闸。,机架I/O通讯模块电源故障,检查F7机架现场I/O站，发现通讯模块（ET200）的24V DC电源模块指示灯不亮。测量输入正常，输出为0V。更换同型号电源模块后通讯恢复。,电源模块内部元器件击穿。,"{""maintenance_log"": ""Log_PLC_HRM2_2024.xlsx"", ""electrical_drawing"": ""Drawing_E_HRM2_RF7_IO.pdf"", ""photo_internal"": [""PHOTO_HRM2_RF7_PS_FAIL_20240528_1015.jpg""]}"
F-2024-0015,1#加热炉 1号出炉机器人,FURN1-ROBOT-01,2024/5/28 14:50,出炉机器人在抓取板坯时，夹钳无法闭合，PLC报警“夹钳闭合超时”。,夹钳闭合电磁阀线圈烧毁,手动操作电磁阀无效。使用万用表测量电磁阀线圈电阻，显示为无穷大（开路）。更换同型号电磁阀线圈。,电磁阀长期在高温环境下工作，线圈绝缘老化导致短路烧毁。,"{""timeseries_data"": [""PLC_FURN1_ROBOT01_CLAMP_20240528_1445.csv""], ""thermal_image"": [""IMG_FURN1_ROBOT01_VALVE_20240528_1500.jpg""], ""schematics"": ""Schematic_FURN1_Robot_Pneumatic.pdf#page=3""}"
F-2024-0016,2#粗轧机 R1电机冷却风机,HRM2-R1-FAN,2024/5/29 9:20,R1主电机温度持续上升，超过报警值，检查发现电机顶部的冷却风机没有运转。,冷却风机接触器主触点烧结,检查风机控制柜，送电后接触器吸合，但测量输出端三相电压不平衡，A相为0。断电检查，发现接触器A相主触点烧结在一起，无法正常通断。,接触器选型偏小，长期在接近额定电流下工作导致触点过热氧化。,"{""thermal_image"": [""IMG_HRM2_R1_FAN_CONTACTOR_20240529_0925.jpg""], ""electrical_drawing"": ""Drawing_E_HRM2_R1_Cooling.pdf"", ""photo_damage"": [""PHOTO_HRM2_R1_CONTACTOR_BURNED_20240529_0940.jpg""]}"
F-2024-0017,1#精轧机 F4机架,HRM1-RF4-LUB,2024/5/29 16:00,F4机架油气润滑站压力低报警，现场检查发现一根分配管路的接头处断裂，大量油气喷出。,油气润滑管路接头疲劳断裂,紧急停止润滑站。更换断裂的卡套式接头，并检查周围管路有无松动。恢复系统，压力正常。,管路在安装时存在应力，设备长期振动导致接头处产生金属疲劳。,"{""photo_leak"": [""PHOTO_HRM1_RF4_LUB_LEAK_20240529_1605.jpg""], ""maintenance_manual"": ""Manual_Lubrication_System.pdf#page=50"", ""schematics"": ""Schematic_HRM1_Lubrication_RF4.pdf""}"
F-2024-0018,2#卷取机 C1下线运输链,COILER1-CHAIN-OUT,2024/5/30 11:30,运输钢卷的链条在运行时发出吱吱嘎嘎的异响，并且有明显的抖动。,运输链条销轴磨损严重，链条节距被拉长。,检查链条张紧度，发现已无法再张紧。测量链条节距，超出标准磨损极限。更换整条运输链条。,链条润滑不到位，导致销轴和套筒之间干摩擦，加剧了磨损。,"{""photo_damage"": [""PHOTO_COILER1_CHAIN_WORN_20240530_1145.jpg""], ""maintenance_log"": ""Log_COILER1_Chain_2024.xlsx"", ""maintenance_manual"": ""Manual_Coiler_Chain_Conveyor.pdf#page=15""}"
F-2024-0019,1#粗轧机 R3 AGC系统,HRM1-R3-AGC,2024/5/30 15:00,R3机架的厚度自动控制（AGC）系统投入后，轧制力剧烈波动，导致出口厚度波动超差。,AGC控制器PID参数整定不当,重新进入AGC控制器参数设置界面，根据当前钢种和轧制规程，降低比例增益（P），适当增加积分时间（I）。重新投入AGC后，系统响应平稳。,更换钢种后，未及时更新匹配的PID控制参数。,"{""timeseries_data"": [""PLC_HRM1_R3_AGC_FORCE_THICKNESS_20240530_1455.csv"", ""PLC_HRM1_R3_AGC_FORCE_THICKNESS_TUNED_20240530_1530.csv""], ""maintenance_manual"": ""Manual_AGC_Tuning_Guide.pdf#page=25"", ""parameter_log"": ""Log_AGC_Params_HRM1_2024.xlsx""}"
F-2024-0020,2#层流冷却区 集水坑泵,LFC2-SUMP-PUMP,2024/5/31 8:30,集水坑液位达到高位，但1号排污泵无法启动，控制柜上手动也打不开。,排污泵电机热继电器故障跳闸,检查电机控制柜，发现热继电器处于脱扣状态。复位后手动启动正常。测量电机三相电流平衡且在额定范围内。,泵入口被杂物（如氧化铁皮、塑料袋）堵塞，导致电机过载，热继电器保护动作。清理集水坑后问题解决。,"{""electrical_drawing"": ""Drawing_E_LFC2_SUMP_PUMP.pdf"", ""photo_internal"": [""PHOTO_LFC2_SUMP_CLOGGED_20240531_0900.jpg""], ""maintenance_log"": ""Log_LFC2_PUMPS_2024.xlsx""}"
F-2024-0021,1#精轧机 F3机架,HRM1-RF3-SCREWDOWN,2024/6/1 10:15,F3机架电动压下系统在调整辊缝时，传动侧电机过载报警，无法压下。,压下螺母丝杠润滑不良，导致卡涩,手动盘车困难。向压下螺母注入大量高压润滑脂，并反复上下活动压下装置。电机过载情况消失。,自动润滑系统对应管路堵塞，导致润滑脂无法正常注入。,"{""timeseries_data"": [""PLC_HRM1_RF3_SCREWDOWN_CURRENT_20240601_1010.csv""], ""maintenance_manual"": ""Manual_Screwdown_System.pdf#page=19"", ""schematics"": ""Schematic_HRM1_Lubrication_Screws.pdf""}"
F-2024-0022,2#板坯库 2号天车,CRANE-SLAB-02,2024/6/1 14:00,2号天车起升机构在吊运板坯时，发生溜钩现象，板坯缓慢下落。,起升机构制动器闸瓦磨损超限,调整制动器抱闸力矩无效。检查制动器，发现闸瓦厚度已低于3mm，磨损严重。更换新闸瓦。,闸瓦为易损件，未按周期进行检查更换。,"{""photo_damage"": [""PHOTO_CRANE02_BRAKE_WORN_20240601_1430.jpg""], ""maintenance_log"": ""Log_CRANE_SLAB_02_2024.xlsx"", ""maintenance_manual"": ""Manual_Crane_Brake_System.pdf#page=8""}"
F-2024-0023,1#加热炉 炉门#2,FURN1-DOOR-02,2024/6/2 9:00,2号炉门无法提升，液压缸不动，但泵站压力正常。,炉门提升液压缸的电液换向阀卡死,手动操作换向阀无效。拆解换向阀，发现阀芯上有杂质。清洗阀体和阀芯，更换密封件后重新安装。,液压油清洁度不达标，导致阀芯卡涩。,"{""timeseries_data"": [""PLC_FURN1_DOOR02_CMD_20240602_0855.csv""], ""schematics"": ""Schematic_FURN1_Door_Hydraulic.pdf#page=4"", ""photo_internal"": [""PHOTO_FURN1_DOOR02_VALVE_DIRTY_20240602_1000.jpg""]}"
F-2024-0024,2#精轧机 F6机架,HRM2-RF6-SENSOR,2024/6/2 16:30,F6机架出口侧的活套扫描仪（Looper Scanner）数据为0，活套控制模式无法投入。,活套扫描仪激光发射器故障,检查扫描仪电源和通讯正常。用手遮挡发射器和接收器，无信号变化。进入设备诊断界面，激光发射器功率为0。更换激光发射器模块。,激光发射器达到使用寿命。,"{""maintenance_log"": ""Log_Sensor_HRM2_2024.xlsx"", ""sensor_datasheet"": ""Datasheet_LooperScanner_LS200.pdf"", ""photo_internal"": [""PHOTO_HRM2_RF6_SCANNER_FAIL_20240602_1700.jpg""]}"
F-2024-0025,1#卷取机 C1侧导板,COILER1-SIDEGUIDE,2024/6/3 11:00,C1卷取机入口侧导板宽度调整时，一侧移动正常，另一侧不动，导致钢带跑偏。,侧导板驱动液压马达损坏,检查液压管路压力正常，电磁阀工作正常。拆下故障侧液压马达，发现其输出轴无法转动。更换同型号液压马达。,液压油中杂质导致马达内部配流盘磨损卡死。,"{""schematics"": ""Schematic_COILER1_Sideguide_Hydraulic.pdf#page=7"", ""photo_damage"": [""PHOTO_COILER1_HYDMOTOR_FAIL_20240603_1400.jpg""], ""oil_analysis_report"": ""REPORT_OIL_COILER1_HYD_20240601.pdf""}"
F-2024-0026,2#粗轧机 R3传动轴,HRM2-R3-SPINDLE,2024/6/3 18:00,R3机架轧制过程中突然发出一声巨响，随后轧机过载停机。,主传动万向接轴十字轴承断裂,检查主传动系统，发现连接电机和齿轮箱的万向接轴十字轴承已完全碎裂，滚针散落一地。,十字轴承润滑不良，导致滚针磨损，间隙增大，最终在冲击载荷下断裂。,"{""vibration"": [""VIB_HRM2_R3_SPINDLE_20240603_1755.csv""], ""photo_damage"": [""PHOTO_HRM2_R3_SPINDLE_BROKEN_20240603_1830.jpg""], ""maintenance_manual"": ""Manual_Universal_Joint.pdf#page=11""}"
F-2024-0027,1#层流冷却区 浊环水系统,LFC1-WATER-SYSTEM,2024/6/4 9:30,整个1号层流冷却区水压偏低，多个阀门开度已达100%但流量仍然不足。,浊环水系统主管道上的Y型过滤器堵塞,检查主管道过滤器前后压差，超过0.5MPa，说明堵塞严重。切换到旁路管道供水，拆开过滤器，发现内部被大量氧化铁皮和杂物堵死。,近期高压水除鳞系统有故障，导致大量氧化铁皮进入回水系统。,"{""timeseries_data"": [""PLC_LFC1_WATER_PRESSURE_FLOW_20240604_0925.csv""], ""photo_internal"": [""PHOTO_LFC1_FILTER_CLOGGED_20240604_1030.jpg""], ""schematics"": ""Schematic_LFC1_Water_System.pdf#page=2""}"
F-2024-0028,2#加热炉 5号烧嘴,FURN2-BURNER-05,2024/6/4 15:00,5号烧嘴点火失败，多次尝试后PLC报点火故障报警。,点火烧嘴的火焰检测器（紫外线探头）损坏,检查点火电极能正常打火，燃气电磁阀也开启。用打火机在火焰检测器探头前测试，无信号反馈。更换火焰检测器后点火正常。,探头长期处于高温环境，性能衰减。,"{""maintenance_log"": ""Log_Burner_FURN2_2024.xlsx"", ""schematics"": ""Schematic_FURN2_Burner_Control.pdf#page=6"", ""sensor_datasheet"": ""Datasheet_UV_Detector_QRA2.pdf""}"
F-2024-0029,1#精轧机 F7机架,HRM1-RF7-COOLING,2024/6/5 11:45,F7机架工作辊冷却水流量低报警，现场检查发现多根喷嘴堵塞，喷出的水流很小。,工作辊冷却水喷嘴堵塞,停机。使用专用工具逐一清理F7机架上下工作辊的所有冷却水喷嘴。恢复供水，流量正常。,冷却水中含有细小杂质，在喷嘴处堆积导致堵塞。,"{""photo_internal"": [""PHOTO_HRM1_RF7_NOZZLE_CLOGGED_20240605_1230.jpg""], ""maintenance_manual"": ""Manual_WorkRoll_Cooling.pdf#page=9"", ""schematics"": ""Schematic_HRM1_Cooling_System.pdf#page=11""}"
F-2024-0030,2#卷取机 C2 mandrel,COILER2-MANDREL,2024/6/5 17:00,C2卷取机卸卷后，卷筒无法正常收缩，导致下一个钢卷无法卷取。,卷筒（mandrel）楔形块动作机构卡死,对卷筒收缩机构的滑块和楔形块进行强制润滑。反复操作扩张/收缩指令，最终动作恢复。但动作依然不顺畅。,钢卷氧化铁皮粉末进入楔形块机构的缝隙中，混合润滑脂后形成油泥，阻碍了正常动作。,"{""maintenance_manual"": ""Manual_Coiler_Mandrel.pdf#page=25"", ""schematics"": ""Schematic_COILER2_Mandrel_Assembly.pdf"", ""photo_internal"": [""PHOTO_COILER2_MANDREL_DIRTY_20240605_1800.jpg""]}"
F-2024-0031,1#粗轧机 R1电机,HRM1-R1-MOTOR,2024/6/6 10:00,R1主电机运行时，非驱动侧轴承振动值持续缓慢上升，已接近报警限值。,非驱动侧电机轴承润滑脂劣化,停机。打开轴承盖，发现内部润滑脂已干涸、变色。清理旧润滑脂，重新加注规定牌号和剂量的新润滑脂。,润滑脂加注周期过长，未按规定执行。,"{""vibration"": [""VIB_HRM1_R1_NDE_20240606_0955.csv""], ""maintenance_manual"": ""Manual_RollingMill_Motor.pdf#page=48"", ""maintenance_log"": ""Log_HRM1-R1-MOTOR_LUB_2024.xlsx""}"
F-2024-0032,2#精轧机 F4机架,HRM2-RF4-CYLINDER,2024/6/6 15:30,F4机架的液压伺服缸（HGC）响应迟钝，厚度控制精度下降。,液压伺服缸的伺服阀滤芯堵塞,拆下伺服阀，检查其内置的微型滤芯，发现已被污染物覆盖。使用超声波清洗机清洗滤芯，并更换系统主滤芯。,液压系统油液清洁度不达标。,"{""timeseries_data"": [""PLC_HRM2_RF4_HGC_RESPONSE_20240606_1525.csv""], ""photo_internal"": [""PHOTO_HRM2_RF4_SERVO_FILTER_CLOGGED_20240606_1600.jpg""], ""schematics"": ""Schematic_HRM2_HGC_System.pdf#page=9""}"
F-2024-0033,1#板坯库 3号天车,CRANE-SLAB-03,2024/6/7 9:10,3号天车小车行走时异响严重，车轮啃轨。,小车行走机构车轮不在同一水平线上，导致对角线尺寸偏差过大。,使用激光水平仪和经纬仪重新测量小车行走轨道和车轮。调整车轮下的垫片，校正小车框架，确保车轮对角线误差在允许范围内。,上次更换车轮后，最终的校准工作未做到位。,"{""maintenance_log"": ""Log_CRANE_SLAB_03_2024.xlsx"", ""maintenance_manual"": ""Manual_Crane_Alignment.pdf#page=15"", ""photo_damage"": [""PHOTO_CRANE03_WHEEL_FLANGE_WORN_20240607_0930.jpg""]}"
F-2024-0034,2#除鳞箱 入口门,DESCALER2-DOOR-IN,2024/6/7 14:00,除鳞箱入口门关闭不到位，留有缝隙，导致大量蒸汽和水溅出。,门体铰链轴套磨损，导致门体下沉。,使用千斤顶将门体顶起，拆下铰链。更换新的铜基合金轴套，并加注耐高温润滑脂。,高温、高湿环境下润滑失效，加剧了轴和轴套的磨损。,"{""photo_damage"": [""PHOTO_DESCALER2_DOOR_HINGE_WORN_20240607_1500.jpg""], ""maintenance_manual"": ""Manual_Descaler_Box.pdf#page=12"", ""drawing"": ""Drawing_A_DESCALER2_DOOR.pdf""}"
F-2024-0035,1#卷取机 C1电机,COILER1-MOTOR,2024/6/8 11:00,C1卷取机主电机空载运行时电流异常，三相不平衡严重。,电机定子绕组相间短路,停机，使用摇表和直流电阻电桥分别测量电机绕组的绝缘电阻和直流电阻。发现A、B相之间绝缘电阻为0，存在短路点。安排电机返厂重绕线圈。,电机绕组绝缘老化，在电压波动或高温下被击穿。,"{""timeseries_data"": [""PLC_COILER1_MOTOR_CURRENT_20240608_1055.csv""], ""electrical_drawing"": ""Drawing_E_COILER1_MOTOR.pdf"", ""test_report"": ""REPORT_MOTOR_TEST_COILER1_20240608.pdf""}"
